"Date,""Close"",""Open"",""High"",""Low"",""Volume"",""Change in Percentage"""
"10/12/2021,""507,15"",""505,08"",""507,15"",""502,04"",""838,61M"",""-0,42%"""
"09/12/2021,""509,28"",""506,84"",""509,28"",""503,90"",""891,12M"",""0,90%"""
"08/12/2021,""504,74"",""508,77"",""509,09"",""503,69"",""814,70M"",""-0,54%"""
"07/12/2021,""507,50"",""505,03"",""507,50"",""504,46"",""878,93M"",""1,18%"""
"06/12/2021,""501,60"",""503,40"",""507,51"",""500,50"",""788,33M"",""-0,05%"""
"03/12/2021,""501,87"",""508,72"",""509,50"",""501,87"",""729,29M"",""-1,30%"""
"02/12/2021,""508,51"",""499,31"",""509,23"",""497,87"",""989,20M"",""2,07%"""
"01/12/2021,""498,20"",""499,18"",""506,23"",""497,14"",""1,22B"",""0,19%"""
"30/11/2021,""497,27"",""508,46"",""510,10"",""497,27"",""1,96B"",""-2,19%"""
"29/11/2021,""508,40"",""501,86"",""510,29"",""495,52"","""",""1,11%"""
"26/11/2021,""502,82"",""514,15"",""514,18"",""501,50"",""1,37B"",""-2,43%"""
"25/11/2021,""515,37"",""513,43"",""519,63"",""512,78"",""1,02B"",""0,83%"""
"24/11/2021,""511,15"",""513,33"",""513,57"",""510,00"",""658,72M"",""0,07%"""
"23/11/2021,""510,80"",""512,74"",""514,86"",""509,67"",""1,84B"",""-0,56%"""
"22/11/2021,""513,67"",""515,71"",""517,88"",""509,92"",""1,66B"",""-0,03%"""
"19/11/2021,""513,84"",""505,79"",""514,48"",""505,35"",""1,48B"",""2,03%"""
"18/11/2021,""503,61"",""504,93"",""506,43"",""502,52"",""971,50M"",""-0,78%"""
"17/11/2021,""507,56"",""507,04"",""507,56"",""503,41"",""1,02B"",""0,59%"""
"16/11/2021,""504,58"",""498,64"",""505,33"",""498,31"",""1,13B"",""0,73%"""
"15/11/2021,""500,95"",""506,84"",""507,83"",""500,75"",""1,22B"",""-0,97%"""
"12/11/2021,""505,85"",""511,42"",""511,80"",""505,23"",""1,02B"",""-0,63%"""
"11/11/2021,""509,04"",""510,71"",""512,02"",""507,50"",""1,01B"",""-0,08%"""
"10/11/2021,""509,42"",""504,74"",""510,01"",""503,81"",""1,02B"",""0,77%"""
"09/11/2021,""505,50"",""505,92"",""507,57"",""503,70"",""1,10B"",""0,08%"""
"08/11/2021,""505,10"",""506,19"",""506,90"",""502,72"",""1,06B"",""0,26%"""
"05/11/2021,""503,79"",""505,21"",""505,74"",""499,38"",""1,19B"",""0,00%"""
"04/11/2021,""503,78"",""507,69"",""508,27"",""503,78"",""1,34B"",""0,24%"""
"03/11/2021,""502,60"",""496,49"",""504,02"",""495,32"",""1,09B"",""1,28%"""
"02/11/2021,""496,23"",""502,70"",""503,94"",""495,47"",""1,28B"",""-1,17%"""
"01/11/2021,""502,10"",""510,20"",""510,44"",""502,10"",""1,30B"",""-0,94%"""
"29/10/2021,""506,86"",""507,07"",""508,23"",""504,42"",""1,50B"",""1,03%"""
"28/10/2021,""501,72"",""506,20"",""508,63"",""500,56"",""1,76B"",""-1,44%"""
"27/10/2021,""509,04"",""513,90"",""514,03"",""507,63"",""1,52B"",""-0,83%"""
"26/10/2021,""513,30"",""512,40"",""515,95"",""511,08"",""1,34B"",""0,50%"""
"25/10/2021,""510,76"",""513,69"",""516,90"",""510,76"",""1,24B"",""-1,06%"""
"22/10/2021,""516,22"",""513,48"",""517,10"",""510,76"",""1,58B"",""0,19%"""
"21/10/2021,""515,24"",""520,76"",""521,76"",""512,34"",""2,58B"",""-0,64%"""
"19/10/2021,""518,56"",""520,32"",""521,09"",""513,39"",""1,56B"",""-0,09%"""
"18/10/2021,""519,01"",""519,72"",""522,45"",""516,52"",""2,10B"",""0,34%"""
"15/10/2021,""517,26"",""519,85"",""522,34"",""511,71"",""2,05B"",""-0,05%"""
"14/10/2021,""517,54"",""513,10"",""519,77"",""513,02"",""2,19B"",""1,21%"""
"13/10/2021,""511,36"",""505,53"",""515,69"",""505,18"",""2,25B"",""1,52%"""
"12/10/2021,""503,70"",""502,02"",""506,33"",""501,87"",""2,26B"",""0,40%"""
"11/10/2021,""501,70"",""500,68"",""502,85"",""497,94"",""1,81B"",""0,25%"""
"08/10/2021,""500,46"",""495,32"",""501,24"",""494,69"",""1,91B"",""1,73%"""
"07/10/2021,""491,94"",""493,26"",""496,23"",""490,38"",""2,67B"",""-0,38%"""
"06/10/2021,""493,81"",""483,08"",""496,26"",""482,07"",""2,78B"",""2,92%"""
"05/10/2021,""479,79"",""483,77"",""485,65"",""478,09"",""2,71B"",""-0,98%"""
"04/10/2021,""484,55"",""472,38"",""484,55"",""472,35"",""2,37B"",""2,75%"""
"01/10/2021,""471,60"",""474,21"",""474,73"",""469,23"",""2,05B"",""-0,94%"""
"30/09/2021,""476,06"",""464,80"",""476,06"",""464,60"",""1,89B"",""2,84%"""
"29/09/2021,""462,89"",""455,65"",""463,10"",""454,82"",""1,38B"",""1,22%"""
"28/09/2021,""457,33"",""459,24"",""459,85"",""456,68"",""1,63B"",""-0,19%"""
"27/09/2021,""458,20"",""460,01"",""461,34"",""456,51"",""1,32B"",""-0,59%"""
"24/09/2021,""460,94"",""460,50"",""463,16"",""458,60"",""1,80B"",""0,12%"""
"23/09/2021,""460,40"",""459,85"",""461,74"",""458,74"",""1,40B"",""0,35%"""
"22/09/2021,""458,77"",""452,76"",""459,56"",""452,59"",""1,33B"",""1,26%"""
"21/09/2021,""453,05"",""451,57"",""454,44"",""447,78"",""1,34B"",""-0,47%"""
"20/09/2021,""455,20"",""458,26"",""458,28"",""451,71"",""1,10B"",""-0,83%"""
"17/09/2021,""459,02"",""456,72"",""459,02"",""454,23"",""1,50B"",""0,03%"""
"16/09/2021,""458,86"",""463,08"",""463,65"",""457,72"",""1,09B"",""-0,49%"""
"15/09/2021,""461,14"",""462,65"",""463,37"",""459,56"",""1,34B"",""-0,50%"""
"14/09/2021,""463,44"",""462,88"",""463,88"",""461,15"",""1,62B"",""0,54%"""
"13/09/2021,""460,95"",""460,71"",""462,36"",""457,77"",""846,56M"",""-0,53%"""
"10/09/2021,""463,41"",""463,34"",""465,06"",""460,01"",""1,27B"",""-0,30%"""
"09/09/2021,""464,81"",""456,16"",""464,81"",""454,62"",""1,40B"",""1,92%"""
"08/09/2021,""456,05"",""464,09"",""464,74"",""453,21"",""1,26B"",""-1,60%"""
"07/09/2021,""463,47"",""466,83"",""467,27"",""462,92"",""922,69M"",""-0,40%"""
"06/09/2021,""465,35"",""467,29"",""468,39"",""463,52"",""1,45B"",""-0,01%"""
"03/09/2021,""465,41"",""460,32"",""465,41"",""457,32"",""1,14B"",""1,35%"""
"02/09/2021,""459,20"",""458,05"",""459,71"",""456,05"",""821,60M"",""0,35%"""
"01/09/2021,""457,61"",""461,76"",""462,40"",""457,29"",""1,02B"",""-0,68%"""
"31/08/2021,""460,77"",""461,18"",""461,89"",""457,07"",""1,33B"",""-0,06%"""
"30/08/2021,""461,06"",""452,83"",""461,06"",""452,69"",""1,17B"",""2,47%"""
"27/08/2021,""449,95"",""451,75"",""452,04"",""448,62"",""759,82M"",""-0,49%"""
"26/08/2021,""452,17"",""455,27"",""456,55"",""449,06"",""775,26M"",""-0,91%"""
"25/08/2021,""456,32"",""455,58"",""456,73"",""453,98"",""788,52M"",""0,28%"""
"24/08/2021,""455,04"",""459,33"",""459,82"",""450,17"",""1,07B"",""-0,81%"""
"23/08/2021,""458,77"",""455,97"",""458,77"",""455,74"",""1,09B"",""0,89%"""
"20/08/2021,""454,73"",""451,95"",""455,00"",""447,78"",""1,09B"",""0,52%"""
"19/08/2021,""452,38"",""461,24"",""461,64"",""449,70"",""1,44B"",""-2,19%"""
"18/08/2021,""462,49"",""456,33"",""463,75"",""454,67"",""1,77B"",""2,06%"""
