ds,yhat1
2020-12-03,6258.0347
2020-12-04,6262.2017
2020-12-05,6214.5977
2020-12-06,6236.681
2020-12-07,6259.8804
2020-12-08,6295.8066
2020-12-09,6286.27
2020-12-10,6313.1943
2020-12-11,6346.7856
2020-12-12,6440.739
2020-12-13,6455.4854
2020-12-14,6469.5645
2020-12-15,6493.9434
2020-12-16,6479.4565
2020-12-17,6564.4033
2020-12-18,6548.978
2020-12-19,6456.038
2020-12-20,6450.578
2020-12-21,6445.539
2020-12-22,6452.748
2020-12-23,6383.753
2020-12-24,6378.167
2020-12-25,6381.835
2020-12-26,6383.515
2020-12-27,6388.405
2020-12-28,6395.8413
2020-12-29,6416.842
2020-12-30,6421.51
2020-12-31,6425.408
2021-01-01,6470.9023
2021-01-02,6511.7217
2021-01-03,6552.5513
2021-01-04,6592.45
2021-01-05,6642.717
2021-01-06,6805.1396
2021-01-07,6711.751
2021-01-08,6723.074
2021-01-09,6768.435
2021-01-10,6822.1846
2021-01-11,6876.233
2021-01-12,6942.3696
2021-01-13,6836.2915
2021-01-14,6804.744
2021-01-15,6744.3867
2021-01-16,6701.584
2021-01-17,6732.405
2021-01-18,6763.8726
2021-01-19,6807.1387
2021-01-20,6799.775
2021-01-21,6793.4365
2021-01-22,6781.0347
2021-01-23,6778.706
2021-01-24,6764.628
2021-01-25,6750.498
2021-01-26,6748.0234
2021-01-27,6623.1094
2021-01-28,6596.632
2021-01-29,6661.841
2021-01-30,6573.248
2021-01-31,6583.011
2021-02-01,6594.315
2021-02-02,6618.4023
2021-02-03,6617.0073
2021-02-04,6631.124
2021-02-05,6654.0195
2021-02-06,6690.254
2021-02-07,6691.348
2021-02-08,6691.7666
2021-02-09,6702.5684
2021-02-10,6745.0723
2021-02-11,6700.379
2021-02-12,6673.3345
2021-02-13,6653.185
2021-02-14,6633.498
2021-02-15,6614.3804
2021-02-16,6607.3027
2021-02-17,6695.3867
2021-02-18,6662.441
2021-02-19,6562.021
2021-02-20,6611.896
2021-02-21,6602.4443
2021-02-22,6593.9414
2021-02-23,6597.5615
2021-02-24,6627.0073
2021-02-25,6561.2363
2021-02-26,6549.462
2021-02-27,6547.482
2021-02-28,6609.674
2021-03-01,6671.202
2021-03-02,6743.843
2021-03-03,6728.5894
2021-03-04,6708.876
2021-03-05,6536.573
2021-03-06,6577.6865
2021-03-07,6556.6387
2021-03-08,6537.4297
2021-03-09,6531.6367
2021-03-10,6472.047
2021-03-11,6529.87
2021-03-12,6553.212
2021-03-13,6573.004
2021-03-14,6555.888
2021-03-15,6539.0684
2021-03-16,6533.5977
2021-03-17,6521.4336
2021-03-18,6510.0635
2021-03-19,6570.9365
2021-03-20,6603.135
2021-03-21,6575.0146
2021-03-22,6547.833
2021-03-23,6533.4976
2021-03-24,6513.6665
2021-03-25,6440.3022
2021-03-26,6409.041
2021-03-27,6445.587
2021-03-28,6447.4395
2021-03-29,6452.142
2021-03-30,6470.8394
2021-03-31,6521.079
2021-04-01,5901.5337
2021-04-02,5931.0405
2021-04-03,5939.3096
2021-04-04,5947.4062
2021-04-05,5954.283
2021-04-06,5971.393
2021-04-07,6003.0913
2021-04-08,6062.7144
2021-04-09,6058.2607
2021-04-10,6104.835
2021-04-11,6083.7607
2021-04-12,6061.828
2021-04-13,6050.9106
2021-04-14,6025.0938
2021-04-15,6211.376
2021-04-16,6202.4404
2021-04-17,6201.0767
2021-04-18,6202.199
2021-04-19,6202.902
2021-04-20,6214.5215
2021-04-21,6202.372
2021-04-22,6153.9688
2021-04-23,6183.8936
2021-04-24,6284.3354
2021-04-25,6256.0
2021-04-26,6226.8047
2021-04-27,6208.5312
2021-04-28,6282.258
2021-04-29,6217.2554
2021-04-30,6266.009
2021-05-01,6253.1816
2021-05-02,6242.0654
2021-05-03,6232.428
2021-05-04,6235.6343
2021-05-05,6246.81
2021-05-06,6254.2915
2021-05-07,6253.504
2021-05-08,6233.1895
2021-05-09,6232.9106
2021-05-10,6232.3438
2021-05-11,6242.926
2021-05-12,6283.117
2021-05-13,6274.4775
2021-05-14,6272.014
2021-05-15,6265.037
2021-05-16,6259.2114
2021-05-17,6254.361
2021-05-18,6262.4053
2021-05-19,6200.4434
2021-05-20,6166.417
2021-05-21,6189.5474
2021-05-22,6176.577
2021-05-23,6171.1455
2021-05-24,6167.3076
2021-05-25,6176.1025
2021-05-26,6208.6436
2021-05-27,6183.313
2021-05-28,6164.0654
2021-05-29,6208.414
2021-05-30,6217.033
2021-05-31,6224.906
2021-06-01,6243.5376
2021-06-02,6279.5386
2021-06-03,6301.451
