ds,yhat1
2021-10-02,6642.744
2021-10-03,6712.5884
2021-10-04,6780.5327
2021-10-05,6860.9575
2021-10-06,6852.9136
2021-10-07,7070.921
2021-10-08,7049.0454
2021-10-09,7173.1836
2021-10-10,7162.1826
2021-10-11,7149.916
2021-10-12,7151.166
2021-10-13,7217.885
2021-10-14,7405.4414
2021-10-15,7619.6123
2021-10-16,7521.6787
